policy,decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
selector,2004-12-31,2005-01-03,0.9696088168586502,1000.0,999.5002498750623,0.0,1030.8283428292812,0.0,1.0,1.0,1030.8283428292812,0.9696088168586502,0.9700936212670794,0.9995002498750624,0.0,0.4997501249374437,0.0,True,-0.0004997501249376368,-0.499750124937691,-0.0004997501249376368
selector,2005-01-03,2005-01-04,0.9547904502757165,984.22505760694,984.22505760694,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,0.9547904502757165,0.9547904502757165,0.0,0.0,0.0,0.0,False,-0.015282829864256331,-15.275192268122282,-0.015774942393059987
selector,2005-01-04,2005-01-05,0.9648181826887773,994.5619283926309,994.5619283926309,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,0.9648181826887773,0.9648181826887773,0.0,0.0,0.0,0.0,False,0.010502547873373569,10.336870785690849,-0.005438071607369088
selector,2005-01-05,2005-01-06,0.9679619043303547,997.8025657627347,997.8025657627347,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,0.9679619043303547,0.9679619043303547,0.0,0.0,0.0,0.0,False,0.003258356546325114,3.2406373701038547,-0.002197434237265261
selector,2005-01-06,2005-01-07,0.9729012018224745,1002.8941336112774,1002.8941336112774,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,0.9729012018224745,0.9729012018224745,0.0,0.0,0.0,0.0,False,0.005102780873940338,5.091567848542695,0.0
selector,2005-01-07,2005-01-10,1.0451951815786638,1077.4168169598836,1076.8781085514038,1076.8781085514038,0.0,1.0,0.0,0.0,-1030.8283428292812,1.0451951815786638,1.0446725839878745,1.0,0.0,0.5387084084798149,0.0,True,0.07377047333373143,73.98397494012636,0.0
selector,2005-01-10,2005-01-11,1.021546477809896,1076.8781085514038,1076.3399385821126,0.0,1053.6377560516767,0.0,1.0,1.0,1053.6377560516767,1.021546477809896,1.0220572510488009,0.9995002498750624,0.0,0.5381699692910225,0.0,True,-0.0004997501249376368,-0.5381699692911752,-0.0004997501249376368
selector,2005-01-11,2005-01-12,0.9796370117325586,1032.182542787063,1032.182542787063,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,0.9796370117325586,0.9796370117325586,0.0,0.0,0.0,0.0,False,-0.04102551081883954,-44.157395795049524,-0.04150475843961976
selector,2005-01-12,2005-01-13,1.1032706620381154,1162.4476246674876,1162.4476246674876,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.1032706620381154,1.1032706620381154,0.0,0.0,0.0,0.0,False,0.12620353133340867,130.26508188042453,0.0
selector,2005-01-13,2005-01-14,1.0514819500063157,1107.8810823334957,1107.8810823334957,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.0514819500063157,1.0514819500063157,0.0,0.0,0.0,0.0,False,-0.04694107603308184,-54.56654233399195,-0.04694107603308184
selector,2005-01-14,2005-01-18,1.0454944461697686,1101.5724222268054,1101.5724222268054,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.0454944461697686,1.0454944461697686,0.0,0.0,0.0,0.0,False,-0.0056943477123037045,-6.30866010669024,-0.05236812493646348
selector,2005-01-18,2005-01-19,1.055074031583196,1111.6658351057145,1111.6658351057145,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.055074031583196,1.055074031583196,0.0,0.0,0.0,0.0,False,0.009162731995873141,10.093412878909021,-0.04368522803450958
selector,2005-01-19,2005-01-20,1.0425012885606797,1098.4187183600561,1098.4187183600561,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.0425012885606797,1.0425012885606797,0.0,0.0,0.0,0.0,False,-0.011916455761545097,-13.247116745658332,-0.05508111070874844
selector,2005-01-20,2005-01-21,1.067348163618498,1124.598324040872,1124.598324040872,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.067348163618498,1.067348163618498,0.0,0.0,0.0,0.0,False,0.023833903449772098,26.17960568081594,-0.03256000513351487
selector,2005-01-21,2005-01-24,1.0624082046930985,1119.3933968037268,1119.3933968037268,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.0624082046930985,1.0624082046930985,0.0,0.0,0.0,0.0,False,-0.00462825448507076,-5.204927237145284,-0.037037563628792514
selector,2005-01-24,2005-01-25,1.0682450871912146,1125.543356581379,1125.543356581379,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.0682450871912146,1.0682450871912146,0.0,0.0,0.0,0.0,False,0.005494011127109122,6.149959777652157,-0.03174703728838102
selector,2005-01-25,2005-01-26,1.0875540832266717,1145.8880438357887,1145.8880438357887,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.0875540832266717,1.0875540832266717,0.0,0.0,0.0,0.0,False,0.018075436308560233,20.34468725440979,-0.014245442530312458
selector,2005-01-26,2005-01-27,1.0800695594628504,1138.0020670121608,1138.0020670121608,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.0800695594628504,1.0800695594628504,0.0,0.0,0.0,0.0,False,-0.0068819784498581615,-7.885976823627971,-0.021029384151668218
selector,2005-01-27,2005-01-28,1.0869555721310715,1145.2574299480486,1145.2574299480486,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.0869555721310715,1.0869555721310715,0.0,0.0,0.0,0.0,False,0.00637552702776456,7.255362935887888,-0.014787930530939963
selector,2005-01-28,2005-01-31,1.116292705795673,1176.1681416314075,1176.1681416314075,0.0,1053.6377560516767,1.0,1.0,1.0,0.0,1.116292705795673,1.116292705795673,0.0,0.0,0.0,0.0,False,0.026990186551124173,30.91071168335884,0.0
selector,2005-01-31,2005-02-01,1.1532624762982118,1215.1208876654478,1214.513327221615,1214.513327221615,0.0,1.0,0.0,0.0,-1053.6377560516767,1.1532624762982118,1.1526858450600628,1.0,0.0,0.6075604438326067,0.0,True,0.0326017890069874,38.34518559020762,0.0
selector,2005-02-01,2005-02-02,1.166732961684851,1214.513327221615,1213.906374034598,0.0,1040.4320559193125,0.0,1.0,1.0,1040.4320559193125,1.166732961684851,1.1673163281656933,0.9995002498750626,0.0,0.60695318701721,0.0,True,-0.0004997501249374148,-0.6069531870170977,-0.0004997501249374148
selector,2005-02-02,2005-02-03,1.1839459157537389,1231.8152832249357,1231.8152832249357,0.0,1040.4320559193125,1.0,1.0,1.0,0.0,1.1839459157537389,1.1839459157537389,0.0,0.0,0.0,0.0,False,0.0147531222946089,17.90890919033768,0.0
selector,2005-02-03,2005-02-04,1.1655362282031085,1212.661254157801,1212.661254157801,0.0,1040.4320559193125,1.0,1.0,1.0,0.0,1.1655362282031085,1.1655362282031085,0.0,0.0,0.0,0.0,False,-0.015549432880057057,-19.154029067134616,-0.015549432880057057
selector,2005-02-04,2005-02-07,1.181401376211064,1229.1678627171825,1229.1678627171825,0.0,1040.4320559193125,1.0,1.0,1.0,0.0,1.181401376211064,1.181401376211064,0.0,0.0,0.0,0.0,False,0.013611887493548469,16.506608559381448,-0.0021492025174603135
selector,2005-02-07,2005-02-08,1.1834965552111663,1231.3477541117777,1231.3477541117777,0.0,1040.4320559193125,1.0,1.0,1.0,0.0,1.1834965552111663,1.1834965552111663,0.0,0.0,0.0,0.0,False,0.0017734692394058005,2.179891394595188,-0.00037954482260849076
selector,2005-02-08,2005-02-09,1.2129835035870031,1262.0269204332365,1262.0269204332365,0.0,1040.4320559193125,1.0,1.0,1.0,0.0,1.2129835035870031,1.2129835035870031,0.0,0.0,0.0,0.0,False,0.024915111282749702,30.67916632145875,0.0
selector,2005-02-09,2005-02-10,1.1782581789462776,1225.8975795248207,1225.8975795248207,0.0,1040.4320559193125,1.0,1.0,1.0,0.0,1.1782581789462776,1.1782581789462776,0.0,0.0,0.0,0.0,False,-0.02862802712323531,-36.12934090841577,-0.02862802712323531
selector,2005-02-10,2005-02-11,1.1953214104166618,1243.6507125241797,1243.6507125241797,0.0,1040.4320559193125,1.0,1.0,1.0,0.0,1.1953214104166618,1.1953214104166618,0.0,0.0,0.0,0.0,False,0.014481742435808131,17.753132999358968,-0.014560868402671234
