policy,decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
selector,2004-12-31,2005-01-03,0.9696088168586502,1000.0,999.000999000999,0.0,1030.3134435571387,0.0,1.0,1.0,1030.3134435571387,0.9696088168586502,0.9705784256755088,0.9990009990009989,0.0,0.9990009990009384,0.0,True,-0.0009990009990010762,-0.9990009990010549,-0.0009990009990010762
selector,2005-01-03,2005-01-04,0.9547904502757165,983.7334366990445,983.7334366990445,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,0.9547904502757165,0.9547904502757165,0.0,0.0,0.0,0.0,False,-0.015282829864256331,-15.2675623019544,-0.01626656330095544
selector,2005-01-04,2005-01-05,0.9648181826887773,994.0651442126147,994.0651442126147,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,0.9648181826887773,0.9648181826887773,0.0,0.0,0.0,0.0,False,0.010502547873373569,10.331707513570109,-0.005934855787385396
selector,2005-01-05,2005-01-06,0.9679619043303547,997.3041628827334,997.3041628827334,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,0.9679619043303547,0.9679619043303547,0.0,0.0,0.0,0.0,False,0.003258356546325114,3.239018670118753,-0.0026958371172666196
selector,2005-01-06,2005-01-07,0.9729012018224745,1002.3931874905926,1002.3931874905926,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,0.9729012018224745,0.9729012018224745,0.0,0.0,0.0,0.0,False,0.005102780873940338,5.089024607859187,0.0
selector,2005-01-07,2005-01-10,1.0451951815786638,1076.8786467216419,1075.8017680749203,1075.8017680749203,0.0,1.0,0.0,0.0,-1030.3134435571387,1.0451951815786638,1.0441499863970851,1.0,0.0,1.0768786467216171,0.0,True,0.07323331952015755,73.40858058432775,0.0
selector,2005-01-10,2005-01-11,1.021546477809896,1075.8017680749203,1074.7270410338865,0.0,1052.0588777693258,0.0,1.0,1.0,1052.0588777693258,1.021546477809896,1.0225680242877058,0.999000999000999,0.0,1.0747270410338188,0.0,True,-0.0009990009990009652,-1.0747270410338388,-0.0009990009990009652
selector,2005-01-11,2005-01-12,0.9796370117325586,1030.6358151846514,1030.6358151846514,0.0,1052.0588777693258,1.0,1.0,1.0,0.0,0.9796370117325586,0.9796370117325586,0.0,0.0,0.0,0.0,False,-0.04102551081883954,-44.091225849235116,-0.04198352729154797
selector,2005-01-12,2005-01-13,1.1032706620381154,1160.7056945796407,1160.7056945796407,0.0,1052.0588777693258,1.0,1.0,1.0,0.0,1.1032706620381154,1.1032706620381154,0.0,0.0,0.0,0.0,False,0.12620353133340867,130.06987939498936,0.0
selector,2005-01-13,2005-01-14,1.0514819500063157,1106.2209203183468,1106.2209203183468,0.0,1052.0588777693258,1.0,1.0,1.0,0.0,1.0514819500063157,1.0514819500063157,0.0,0.0,0.0,0.0,False,-0.04694107603308184,-54.48477426129398,-0.04694107603308184
selector,2005-01-14,2005-01-18,1.0454944461697686,1099.9217137514295,1099.9217137514295,0.0,1052.0588777693258,1.0,1.0,1.0,0.0,1.0454944461697686,1.0454944461697686,0.0,0.0,0.0,0.0,False,-0.0056943477123037045,-6.299206566917292,-0.05236812493646348
selector,2005-01-18,2005-01-19,1.055074031583196,1110.0000016309752,1110.0000016309752,0.0,1052.0588777693258,1.0,1.0,1.0,0.0,1.055074031583196,1.055074031583196,0.0,0.0,0.0,0.0,False,0.009162731995873141,10.078287879545769,-0.04368522803450958
selector,2005-01-19,2005-01-20,1.0425012885606797,1096.7727357162248,1096.7727357162248,0.0,1052.0588777693258,1.0,1.0,1.0,0.0,1.0425012885606797,1.0425012885606797,0.0,0.0,0.0,0.0,False,-0.011916455761544986,-13.227265914750433,-0.05508111070874844
selector,2005-01-20,2005-01-21,1.067348163618498,1122.9131112056277,1122.9131112056277,0.0,1052.0588777693258,1.0,1.0,1.0,0.0,1.067348163618498,1.067348163618498,0.0,0.0,0.0,0.0,False,0.023833903449772098,26.140375489402913,-0.03256000513351487
selector,2005-01-21,2005-01-24,1.0624082046930985,1117.7159835623454,1117.7159835623454,0.0,1052.0588777693258,1.0,1.0,1.0,0.0,1.0624082046930985,1.0624082046930985,0.0,0.0,0.0,0.0,False,-0.004628254485070871,-5.197127643282329,-0.037037563628792625
selector,2005-01-24,2005-01-25,1.0682450871912146,1123.8567276129847,1123.8567276129847,0.0,1052.0588777693258,1.0,1.0,1.0,0.0,1.0682450871912146,1.0682450871912146,0.0,0.0,0.0,0.0,False,0.005494011127109122,6.140744050639341,-0.03174703728838102
