decision_date,aapl_lr_1,aapl_lr_5,aapl_lr_20,aapl_lr_60,aapl_lr_252,aapl_intraday_lr,aapl_gap_lr,aapl_rv_20,aapl_rv_60,aapl_downside_rv_20,aapl_drawdown_60,aapl_drawdown_252,aapl_sma_distance_20,aapl_sma_distance_200,qqq_lr_5,qqq_lr_20,qqq_lr_60,spy_lr_20,spy_lr_60,aapl_minus_qqq_lr_5,aapl_minus_qqq_lr_20,qqq_minus_spy_lr_20,qqq_rv_20,spy_rv_20,sector_participation_1,sector_median_lr_1,sector_dispersion_lr_1,defensive_minus_cyclical_participation_1,defensive_minus_cyclical_median_lr_1,iwm_minus_spy_lr_1,aapl_vs_xlk_residual_lr_1,aapl_vs_qqq_residual_lr_1,sector_participation_5,sector_median_lr_5,sector_dispersion_lr_5,defensive_minus_cyclical_participation_5,defensive_minus_cyclical_median_lr_5,iwm_minus_spy_lr_5,aapl_vs_xlk_residual_lr_5,sector_participation_20,sector_median_lr_20,sector_dispersion_lr_20,defensive_minus_cyclical_participation_20,defensive_minus_cyclical_median_lr_20,iwm_minus_spy_lr_20,aapl_vs_xlk_residual_lr_20,sector_participation_60,sector_median_lr_60,sector_dispersion_lr_60,defensive_minus_cyclical_participation_60,defensive_minus_cyclical_median_lr_60,iwm_minus_spy_lr_60,aapl_vs_xlk_residual_lr_60,aapl_vs_qqq_residual_lr_60,vix_log_level,vix_lr_1,vix_lr_5,vix_lr_20,vix_lr_60,vix_z_252,label_entry_date,label_maturity_date,label_entry_adjusted_open,label_exit_adjusted_open,aapl_forward_log_return_5,cash_active_log_edge_5bps,cash_active_log_edge_10bps,cash_beats_long_10bps,price_features_ready,sector_breadth_features_ready,sector_breadth_price_only_fallback,sector_breadth_status,label_available
1999-03-10,,,,,,-0.048698905151637127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-03-11,1999-03-18,0.24135401751226473,0.25725792776394668,0.06381438362323523,-0.06481438370656846,-0.065814384289902231,0,False,False,True,missing_context,True
1999-03-11,-0.011586126974537434,,,,,-0.0019397048454916511,-0.0096464221290459527,,,,,,,,,,,,,,,,,,,,,,,,,-0.016469792873923614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-03-12,1999-03-19,0.24182174359456707,0.2689515062073215,0.1063302310088787,-0.10733023109221193,-0.1083302316755457,0,False,False,True,missing_context,True
1999-03-12,0.030596653440038674,,,,,0.026720898543821706,0.0038757548962170098,,,,,,,,,,,,,,,,,,,,,,,,,0.055259026972124939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-03-15,1999-03-22,0.24930588116113822,0.25445069616096444,0.020426508025387913,-0.021426508108721137,-0.022426508692054911,0,False,False,True,missing_context,True
1999-03-15,0.026021840457499661,,,,,0.022263016070923208,0.0037588243865762983,,,,,,,,,,,,,,,,,,,,,,,,,-0.0022878480671036719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-03-16,1999-03-23,0.26193504668824275,0.25772561103379038,-0.016201063767077185,0.015201063683743962,0.014201063100410185,1,False,False,True,missing_context,True
1999-03-16,0.041336697646513022,,,,,0.014183735045365532,0.02715296260114736,,,,,,,,,,,,,,,,,,,,,,,,,0.032877094726668901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-03-17,1999-03-24,0.2689514252545448,0.24883819308397809,-0.077727929770576132,0.076727929687242902,0.075727929103909131,1,False,False,True,missing_context,True
1999-03-17,-0.041336697646513036,0.045032366923000798,,,,-0.053587191013560326,0.012250493367047232,,,,,,,,0.0097441242601550414,,,,,0.035288242662845755,,,,,,,,,,,,-0.034090238094920747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-03-18,1999-03-25,0.25725792776394668,0.25725782517470008,-3.9877980808470887e-07,-0.00099960130352513919,-0.0019996018868589142,0,False,False,True,missing_context,True
1999-03-18,0.041336697646513022,0.097955191544051246,,,,0.032201103075324429,0.00913559457118851,,,,,,,,0.024068407113663644,,,,,0.073886784430387598,,,,,,,,,,,,0.022128748893618044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-03-19,1999-03-26,0.2689515062073215,0.25257998065872522,-0.062803135385071027,0.061803135301737804,0.060803134718404026,1,False,False,True,missing_context,True
1999-03-19,-0.057987045019902365,0.0093714930841102152,,,,-0.07023783938094677,0.012250794361044558,,,,,,,,0.022833361734737382,,,,,-0.013461868650627167,,,,,,,,,,,,-0.032089626108889754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-03-22,1999-03-29,0.25445069616096444,0.25070912076655039,-0.014813703273839818,0.013813703190506595,0.012813702607172819,1,False,False,True,missing_context,True
1999-03-22,0.045586806960408267,0.028936459587018837,,,,0.030772967632554132,0.014813839327854095,,,,,,,,-0.017753567896593606,,,,,0.046690027483612444,,,,,,,,,,,,0.057864048067135888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-03-23,1999-03-30,0.25772561103379038,0.26193498840380386,0.016200841252197576,-0.017200841335530799,-0.018200841918864574,0,False,False,True,missing_context,True
1999-03-23,-0.060623631586741958,-0.073023869646236028,,,,-0.042639070833793397,-0.017984560752948679,,,,,,,,-0.062054846911417952,,,,,-0.010969022734818076,,,,,,,,,,,,-0.024781955491761688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-03-24,1999-03-31,0.24883819308397809,0.27222537246961981,0.089827440209300974,-0.090827440292634204,-0.091827440875967975,0,False,False,True,missing_context,True
