date,aapl_open,aapl_close,aapl_adj_close,aapl_adj_open,spy_adj_close,qqq_adj_close
1999-12-31,0.90122801065444946,0.9179689884185791,0.76943427324295044,0.7554021194100522,92.033500671386719,76.995765686035156
2000-01-03,0.93638402223587036,0.99944198131561279,0.83772438764572144,0.78486970358819375,91.132736206054688,79.839683532714844
2000-01-04,0.96651798486709595,0.91517901420593262,0.76709568500518799,0.81012759707427817,87.56890869140625,74.362533569335938
2000-01-05,0.92633897066116333,0.92857098579406738,0.77832072973251343,0.7764498726051714,87.725578308105469,72.46661376953125
2000-01-06,0.94754499197006226,0.84821397066116333,0.71096611022949219,0.79422457128745283,86.315658569335938,67.489791870117188
2000-01-07,0.86160701513290405,0.88839298486709595,0.7446436882019043,0.72219190882645468,91.328575134277344,75.837181091308594
2000-01-10,0.91071397066116333,0.87276798486709595,0.73154693841934204,0.76335295125926195,91.641876220703125,77.9437255859375
2000-01-11,0.85658502578735352,0.828125,0.69412785768508911,0.71798282732063701,90.545364379882812,74.151878356933594
2000-01-12,0.84821397066116333,0.77846002578735352,0.65249890089035034,0.7109660936237121,89.644584655761719,72.519279479980469
2000-01-13,0.84360998868942261,0.86383897066116333,0.72406286001205444,0.70710709043108688,90.858634948730469,76.890426635742188
2000-01-14,0.89285701513290405,0.89676302671432495,0.75165945291519165,0.74838546587412402,92.092262268066406,78.681060791015625
2000-01-18,0.90178602933883667,0.92801302671432495,0.77785301208496094,0.75586975504093246,91.367721557617188,79.102310180664062
2000-01-19,0.94308000802993774,0.95145100355148315,0.79749858379364014,0.79048208263019992,92.111824035644531,80.892997741699219
2000-01-20,1.03125,1.0133930444717407,0.84941774606704712,0.86438529986976764,90.701972961425781,80.10302734375
2000-01-21,1.0200890302658081,0.99386197328567505,0.83304709196090698,0.85503039963869532,90.506118774414062,81.10357666015625
2000-01-24,0.96819198131561279,0.94866102933883667,0.79516011476516724,0.81153080306692027,87.940933227539062,77.2064208984375
2000-01-25,0.9375,1.0022319555282593,0.84006273746490479,0.78580493470519952,88.939605712890625,78.365066528320312
2000-01-26,0.98214298486709595,0.98381698131561279,0.82462739944458008,0.82322426922398362,88.234642028808594,75.205177307128906
2000-01-27,0.97153997421264648,0.98214298486709595,0.82322418689727783,0.81433683041338101,87.882232666015625,76.311149597167969
2000-01-28,0.96596002578735352,0.90736597776412964,0.76054662466049194,0.80965966894618147,85.140792846679688,72.46661376953125
2000-01-31,0.90178602933883667,0.92633897066116333,0.77644985914230347,0.75586978161664031,87.451423645019531,75.573829650878906
2000-02-01,0.92857098579406738,0.89508897066116333,0.75025653839111328,0.77832090025384115,88.313011169433594,77.601425170898438
