strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,aapl_decision_date,aapl_fill_date,aapl_adjusted_open,aapl_equity_before_fill,aapl_equity,aapl_cash,aapl_shares,aapl_holding_exposure_for_return,aapl_target_exposure,aapl_new_exposure_after_fill,aapl_signed_share_delta,aapl_reference_price,aapl_fill_price,aapl_turnover,aapl_fees,aapl_slippage,aapl_margin_interest,aapl_trade_executed,aapl_daily_return,aapl_monetary_pnl,aapl_drawdown
1999-12-31,2000-01-03,0.7848695360561967,1000.0,999.000999000999,0.0,1272.8242760201492,0.0,1.0,1.0,1272.8242760201492,0.7848695360561967,0.7856544055922529,0.9990009990009989,0.0,0.999000999000959,0.0,True,-0.0009990009990010762,-0.9990009990010549,-0.0009990009990010762,1999-12-31,2000-01-03,0.7848695360561967,1000.0,999.000999000999,0.0,1272.8242760201492,0.0,1.0,1.0,1272.8242760201492,0.7848695360561967,0.7856544055922529,0.9990009990009989,0.0,0.999000999000959,0.0,True,-0.0009990009990010762,-0.9990009990010549,-0.0009990009990010762
2000-01-03,2000-01-04,0.8101275341259804,1031.1499921078896,1031.1499921078896,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.8101275341259804,0.8101275341259804,0.0,0.0,0.0,0.0,False,0.03218114209999756,32.14899310689066,0.0,2000-01-03,2000-01-04,0.8101275341259804,1031.1499921078896,1031.1499921078896,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.8101275341259804,0.8101275341259804,0.0,0.0,0.0,0.0,False,0.03218114209999756,32.14899310689066,0.0
2000-01-04,2000-01-05,0.7764498726051714,988.2842469646143,988.2842469646143,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7764498726051714,0.7764498726051714,0.0,0.0,0.0,0.0,False,-0.04157081459667045,-42.86574514327526,-0.04157081459667045,2000-01-04,2000-01-05,0.7764498726051714,988.2842469646143,988.2842469646143,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7764498726051714,0.7764498726051714,0.0,0.0,0.0,0.0,False,-0.04157081459667045,-42.86574514327526,-0.04157081459667045
2000-01-05,2000-01-06,0.7942245047027412,1010.9082301957282,1010.9082301957282,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7942245047027412,0.7942245047027412,0.0,0.0,0.0,0.0,False,0.0228921823863939,22.62398323111381,-0.019630278879974594,2000-01-05,2000-01-06,0.7942245047027412,1010.9082301957282,1010.9082301957282,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7942245047027412,0.7942245047027412,0.0,0.0,0.0,0.0,False,0.0228921823863939,22.62398323111381,-0.019630278879974594
2000-01-06,2000-01-07,0.7221921978639693,919.223761393607,919.223761393607,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7221921978639693,0.7221921978639693,0.0,0.0,0.0,0.0,False,-0.0906951452797744,-91.68446880212116,-0.1085450531648472,2000-01-06,2000-01-07,0.7221921978639693,919.223761393607,919.223761393607,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7221921978639693,0.7221921978639693,0.0,0.0,0.0,0.0,False,-0.0906951452797744,-91.68446880212116,-0.1085450531648472
2000-01-07,2000-01-10,0.7633532000437437,971.6144841933423,971.6144841933423,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7633532000437437,0.7633532000437437,0.0,0.0,0.0,0.0,False,0.05699452625148349,52.39072279973527,-0.05773700079543631,2000-01-07,2000-01-10,0.7633532000437437,971.6144841933423,971.6144841933423,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7633532000437437,0.7633532000437437,0.0,0.0,0.0,0.0,False,0.05699452625148349,52.39072279973527,-0.05773700079543631
2000-01-10,2000-01-11,0.7179826423614357,913.8657369587281,913.8657369587281,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7179826423614357,0.7179826423614357,0.0,0.0,0.0,0.0,False,-0.05943586491771846,-57.74874723461414,-0.11374121713312291,2000-01-10,2000-01-11,0.7179826423614357,913.8657369587281,913.8657369587281,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7179826423614357,0.7179826423614357,0.0,0.0,0.0,0.0,False,-0.05943586491771846,-57.74874723461414,-0.11374121713312291
2000-01-11,2000-01-12,0.7109661585692337,904.9349860557115,904.9349860557115,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7109661585692337,0.7109661585692337,0.0,0.0,0.0,0.0,False,-0.009772497799006463,-8.930750903016587,-0.12240217913803964,2000-01-11,2000-01-12,0.7109661585692337,904.9349860557115,904.9349860557115,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7109661585692337,0.7109661585692337,0.0,0.0,0.0,0.0,False,-0.009772497799006463,-8.930750903016587,-0.12240217913803964
2000-01-12,2000-01-13,0.7071070904310869,900.0230704466624,900.0230704466624,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7071070904310869,0.7071070904310869,0.0,0.0,0.0,0.0,False,-0.005427920994035662,-4.911915609049174,-0.12716571077421623,2000-01-12,2000-01-13,0.7071070904310869,900.0230704466624,900.0230704466624,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7071070904310869,0.7071070904310869,0.0,0.0,0.0,0.0,False,-0.005427920994035662,-4.911915609049174,-0.12716571077421623
2000-01-13,2000-01-14,0.7483852878390458,952.5629621778644,952.5629621778644,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7483852878390458,0.7483852878390458,0.0,0.0,0.0,0.0,False,0.05837616107454613,52.53989173120203,-0.07621299571498485,2000-01-13,2000-01-14,0.7483852878390458,952.5629621778644,952.5629621778644,0.0,1272.8242760201492,1.0,1.0,1.0,0.0,0.7483852878390458,0.7483852878390458,0.0,0.0,0.0,0.0,False,0.05837616107454613,52.53989173120203,-0.07621299571498485
