strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2023-12-29,2024-01-02,185.055288483,1000,998.003992016,0,5.39300443775,0,1,1,5.39300443775,185.055288483,185.42539906,0.998003992016,0,1.99600798403,0,True,-0.00199600798403,-1.99600798403,-0.00199600798403,2023-12-29,2024-01-02,185.055288483,1000,998.003992016,0,5.39300443775,0,1,1,5.39300443775,185.055288483,185.42539906,0.998003992016,0,1.99600798403,0,True,-0.00199600798403,-1.99600798403,-0.00199600798403,0
2024-01-02,2024-01-03,182.158081129,982.379339899,982.379339899,0,5.39300443775,1,1,1,0,182.158081129,182.158081129,0,0,0,0,False,-0.0156559014208,-15.6246521166,-0.0176206601006,2024-01-02,2024-01-03,182.158081129,982.379339899,982.379339899,0,5.39300443775,1,1,1,0,182.158081129,182.158081129,0,0,0,0,False,-0.0156559014208,-15.6246521166,-0.0176206601006,0
2024-01-03,2024-01-04,180.111220691,971.340612477,971.340612477,0,5.39300443775,1,1,1,0,180.111220691,180.111220691,0,0,0,0,False,-0.0112367259511,-11.0387274224,-0.028659387523,2024-01-03,2024-01-04,180.111220691,971.340612477,971.340612477,0,5.39300443775,1,1,1,0,180.111220691,180.111220691,0,0,0,0,False,-0.0112367259511,-11.0387274224,-0.028659387523,0
2024-01-04,2024-01-05,179.953046197,970.487576729,970.487576729,0,5.39300443775,1,1,1,0,179.953046197,179.953046197,0,0,0,0,False,-0.000878204552872,-0.853035748267,-0.0295124232713,2024-01-04,2024-01-05,179.953046197,970.487576729,970.487576729,0,5.39300443775,1,1,1,0,179.953046197,179.953046197,0,0,0,0,False,-0.000878204552872,-0.853035748267,-0.0295124232713,0
2024-01-05,2024-01-08,180.051915505,971.020779346,971.020779346,0,5.39300443775,1,1,1,0,180.051915505,180.051915505,0,0,0,0,False,0.000549417251987,0.533202617494,-0.0289792206538,2024-01-05,2024-01-08,180.051915505,971.020779346,971.020779346,0,5.39300443775,1,1,1,0,180.051915505,180.051915505,0,0,0,0,False,0.000549417251987,0.533202617494,-0.0289792206538,0
2024-01-08,2024-01-09,181.861448608,980.779599401,980.779599401,0,5.39300443775,1,1,1,0,181.861448608,181.861448608,0,0,0,0,False,0.0100500630493,9.75882005464,-0.0192204005992,2024-01-08,2024-01-09,181.861448608,980.779599401,980.779599401,0,5.39300443775,1,1,1,0,181.861448608,181.861448608,0,0,0,0,False,0.0100500630493,9.75882005464,-0.0192204005992,0
2024-01-09,2024-01-10,182.286616409,983.072531236,983.072531236,0,5.39300443775,1,1,1,0,182.286616409,182.286616409,0,0,0,0,False,0.00233786656726,2.29293183529,-0.0169274687639,2024-01-09,2024-01-10,182.286616409,983.072531236,983.072531236,0,5.39300443775,1,1,1,0,182.286616409,182.286616409,0,0,0,0,False,0.00233786656726,2.29293183529,-0.0169274687639,0
2024-01-10,2024-01-11,184.452089659,994.750938081,994.750938081,0,5.39300443775,1,1,1,0,184.452089659,184.452089659,0,0,0,0,False,0.0118794966534,11.6784068449,-0.005249061919,2024-01-10,2024-01-11,184.452089659,994.750938081,994.750938081,0,5.39300443775,1,1,1,0,184.452089659,184.452089659,0,0,0,0,False,0.0118794966534,11.6784068449,-0.005249061919,0
2024-01-11,2024-01-12,183.977497981,992.191463057,992.191463057,0,5.39300443775,1,1,1,0,183.977497981,183.977497981,0,0,0,0,False,-0.00257298075953,-2.55947502421,-0.0078085369432,2024-01-11,2024-01-12,183.977497981,992.191463057,992.191463057,0,5.39300443775,1,1,1,0,183.977497981,183.977497981,0,0,0,0,False,-0.00257298075953,-2.55947502421,-0.0078085369432,0
2024-01-12,2024-01-16,180.121158951,971.394209558,971.394209558,0,5.39300443775,1,1,1,0,180.121158951,180.121158951,0,0,0,0,False,-0.0209609276772,-20.797253499,-0.0286057904423,2024-01-12,2024-01-16,180.121158951,971.394209558,971.394209558,0,5.39300443775,1,1,1,0,180.121158951,180.121158951,0,0,0,0,False,-0.0209609276772,-20.797253499,-0.0286057904423,0
2024-01-16,2024-01-17,179.241092939,966.648009645,966.648009645,0,5.39300443775,1,1,1,0,179.241092939,179.241092939,0,0,0,0,False,-0.00488596685693,-4.74619991291,-0.0333519903552,2024-01-16,2024-01-17,179.241092939,966.648009645,966.648009645,0,5.39300443775,1,1,1,0,179.241092939,179.241092939,0,0,0,0,False,-0.00488596685693,-4.74619991291,-0.0333519903552,0
2024-01-17,2024-01-18,184.007143587,992.351341943,992.351341943,0,5.39300443775,1,1,1,0,184.007143587,184.007143587,0,0,0,0,False,0.026590167302,25.7033322986,-0.0076486580566,2024-01-17,2024-01-18,184.007143587,992.351341943,992.351341943,0,5.39300443775,1,1,1,0,184.007143587,184.007143587,0,0,0,0,False,0.026590167302,25.7033322986,-0.0076486580566,0
2024-01-18,2024-01-19,187.210888017,1009.62914987,1009.62914987,0,5.39300443775,1,1,1,0,187.210888017,187.210888017,0,0,0,0,False,0.0174109785472,17.2778079258,0,2024-01-18,2024-01-19,187.210888017,1009.62914987,1009.62914987,0,5.39300443775,1,1,1,0,187.210888017,187.210888017,0,0,0,0,False,0.0174109785472,17.2778079258,0,0
2024-01-19,2024-01-22,190.147663766,1025.46719451,1025.46719451,0,5.39300443775,1,1,1,0,190.147663766,190.147663766,0,0,0,0,False,0.0156869922463,15.8380446457,0,2024-01-19,2024-01-22,190.147663766,1025.46719451,1025.46719451,0,5.39300443775,1,1,1,0,190.147663766,190.147663766,0,0,0,0,False,0.0156869922463,15.8380446457,0,0
2024-01-22,2024-01-23,192.837209399,1039.97192605,1039.97192605,0,5.39300443775,1,1,1,0,192.837209399,192.837209399,0,0,0,0,False,0.014144510535,14.5047315361,0,2024-01-22,2024-01-23,192.837209399,1039.97192605,1039.97192605,0,5.39300443775,1,1,1,0,192.837209399,192.837209399,0,0,0,0,False,0.014144510535,14.5047315361,0,0
2024-01-23,2024-01-24,193.23271418,1042.10488509,1042.10488509,0,5.39300443775,1,1,1,0,193.23271418,193.23271418,0,0,0,0,False,0.00205097751903,2.13295904076,0,2024-01-23,2024-01-24,193.23271418,1042.10488509,1042.10488509,0,5.39300443775,1,1,1,0,193.23271418,193.23271418,0,0,0,0,False,0.00205097751903,2.13295904076,0,0
