decision_date,entry_date,exit_date,raw_active_log_edge,net_active_log_edge,win
2005-01-07,2005-01-10,2005-01-11,0.022886010796866713,0.020886010130199716,True
2005-01-31,2005-02-01,2005-02-02,-0.011612640735564537,-0.013612641402231536,False
2005-04-21,2005-04-22,2005-04-25,0.0095465269080205317,0.0075465262413535322,True
2005-05-04,2005-05-05,2005-05-06,0.0097111817769018373,0.0077111811102348379,True
2005-07-05,2005-07-06,2005-07-07,0.024155940763660649,0.022155940096993652,True
2005-07-07,2005-07-08,2005-07-11,-0.013116055759889703,-0.015116056426556702,False
2005-10-13,2005-10-14,2005-10-17,0.00092590023766469089,-0.0010741004290023082,False
2006-02-10,2006-02-13,2006-02-14,0.023230776161745927,0.02123077549507893,True
2006-02-14,2006-02-15,2006-02-16,-0.04013125662954399,-0.042131257296210992,False
2006-06-01,2006-06-02,2006-06-05,0.029645868518610598,0.0276458678519436,True
2006-06-08,2006-06-09,2006-06-12,0.029525745201929098,0.0275257445352621,True
2006-06-15,2006-06-16,2006-06-19,0.019351377265232516,0.017351376598565518,True
2007-02-28,2007-03-01,2007-03-02,-0.03208738249316203,-0.034087383159829031,False
2007-03-12,2007-03-13,2007-03-14,0.0091004799450580751,0.0071004792783910756,True
2007-08-21,2007-08-22,2007-08-23,-0.014149768630978565,-0.016149769297645562,False
2007-11-13,2007-11-14,2007-11-15,0.0627189481195118,0.060718947452844799,True
2008-01-09,2008-01-10,2008-01-11,0.0089371831810171228,0.0069371825143501233,True
2008-01-22,2008-01-23,2008-01-24,-0.027519907066152462,-0.029519907732819459,False
2008-01-31,2008-02-01,2008-02-04,0.015012845034209349,0.01301284436754235,True
2008-02-08,2008-02-11,2008-02-12,-0.020796370905093006,-0.022796371571760003,False
2008-03-11,2008-03-12,2008-03-13,0.023414779553667883,0.021414778887000885,True
2008-03-13,2008-03-14,2008-03-17,0.058091705220726111,0.05609170455405911,True
2008-03-17,2008-03-18,2008-03-19,-0.030044672532229887,-0.032044673198896888,False
2008-06-10,2008-06-11,2008-06-12,0.015581296551282493,0.013581295884615494,True
2008-06-16,2008-06-17,2008-06-18,-0.016814241167734372,-0.01881424183440137,False
2008-07-01,2008-07-02,2008-07-03,0.032543833097622273,0.030543832430955275,True
2008-07-22,2008-07-23,2008-07-24,0.0040692407110243297,0.0020692400443573307,True
2008-09-11,2008-09-12,2008-09-15,0.060645052534872679,0.058645051868205678,True
2008-09-16,2008-09-17,2008-09-18,0.058888718550435835,0.056888717883768834,True
2008-09-26,2008-09-29,2008-09-30,0.099877187333807849,0.097877186667140847,True
2008-09-30,2008-10-01,2008-10-02,0.03556018780608039,0.033560187139413389,True
2008-10-06,2008-10-07,2008-10-08,0.15665892544774565,0.15465892478107865,True
2008-10-08,2008-10-09,2008-10-10,0.085503491548071145,0.083503490881404144,True
2008-10-10,2008-10-13,2008-10-14,-0.10616385269856959,-0.1081638533652366,False
2008-10-24,2008-10-27,2008-10-28,-0.0037798916526165507,-0.0057798923192835493,False
2008-10-28,2008-10-29,2008-10-30,-0.070525147948637401,-0.072525148615304402,False
2008-11-13,2008-11-14,2008-11-17,0.057961688824582254,0.055961688157915253,True
2008-11-24,2008-11-25,2008-11-26,0.051053858211015407,0.049053857544348406,True
2008-11-26,2008-11-28,2008-12-01,0.03656321405413164,0.034563213387464639,True
2010-02-03,2010-02-04,2010-02-05,0.021060834396789557,0.019060833730122559,True
2010-02-05,2010-02-08,2010-02-09,-0.0037234571475911636,-0.0057234578142581621,False
2010-02-11,2010-02-12,2010-02-16,-0.019148218224369313,-0.021148218891036311,False
2010-05-11,2010-05-12,2010-05-13,-0.015235688587066181,-0.017235689253733179,False
2010-05-21,2010-05-24,2010-05-25,0.032594562288893812,0.030594561622226814,True
2010-05-25,2010-05-26,2010-05-27,-0.0020766024028770033,-0.0040766030695440023,False
2010-06-10,2010-06-11,2010-06-14,-0.030665488268014143,-0.032665488934681144,False
2010-07-07,2010-07-08,2010-07-09,0.021527644257280501,0.019527643590613503,True
2010-07-20,2010-07-21,2010-07-22,0.028351209627222526,0.026351208960555528,True
2010-08-12,2010-08-13,2010-08-16,0.016305407271379413,0.014305406604712414,True
2010-08-25,2010-08-26,2010-08-27,0.015189186732192425,0.013189186065525426,True
2011-03-11,2011-03-14,2011-03-15,0.031874457875632818,0.02987445720896582,True
2011-05-23,2011-05-24,2011-05-25,0.0061890803283586341,0.0041890796616916356,True
2011-06-21,2011-06-22,2011-06-23,0.019314340826723581,0.017314340160056584,True
2011-06-23,2011-06-24,2011-06-27,0.011472968967832585,0.0094729683011655855,True
2011-08-09,2011-08-10,2011-08-11,0.0016991869120589677,-0.00030081375460803126,False
2011-08-23,2011-08-24,2011-08-25,0.022720941834391752,0.020720941167724754,True
2011-08-25,2011-08-26,2011-08-29,-0.044809017296980135,-0.046809017963647136,False
2011-10-05,2011-10-06,2011-10-07,-0.006540654694975204,-0.0085406553616422035,False
2012-04-17,2012-04-18,2012-04-19,0.022242525352906873,0.020242524686239875,True
2012-05-21,2012-05-22,2012-05-23,0.021383978049505831,0.019383977382838834,True
2012-05-23,2012-05-24,2012-05-25,0.019782386396281618,0.01778238572961462,True
2012-05-30,2012-05-31,2012-06-01,0.020141267368512041,0.018141266701845044,True
2012-10-16,2012-10-17,2012-10-18,0.014404834752723712,0.012404834086056712,True
2012-10-22,2012-10-23,2012-10-24,0.015266678355166628,0.013266677688499628,True
2012-11-19,2012-11-20,2012-11-21,0.013484142055197618,0.011484141388530619,True
2013-07-02,2013-07-03,2013-07-05,0.0011173663346393996,-0.0008826343320275994,False
2014-08-01,2014-08-04,2014-08-05,0.010535489161127051,0.0085354884944600518,True
2014-09-23,2014-09-24,2014-09-25,0.01628295812035651,0.01428295745368951,True
2014-09-26,2014-09-29,2014-09-30,-0.021659475381796578,-0.023659476048463576,False
2014-10-08,2014-10-09,2014-10-10,0.0084063690376800105,0.0064063683710130111,True
2014-10-20,2014-10-21,2014-10-22,0.0017490020217641518,-0.00025099864490284716,False
2014-12-17,2014-12-18,2014-12-19,-0.0034802094448354972,-0.0054802101115024957,False
2015-01-08,2015-01-09,2015-01-12,0.00062147980977782984,-0.0013785208568891693,False
2015-04-06,2015-04-07,2015-04-08,0.014123210185946472,0.012123209519279473,True
2015-08-12,2015-08-13,2015-08-14,0.014933393072199633,0.012933392405532634,True
2015-08-14,2015-08-17,2015-08-18,-0.0033554043502709071,-0.0053554050169379065,False
2015-08-24,2015-08-25,2015-08-26,0.036850678764177872,0.03485067809751087,True
2015-08-26,2015-08-27,2015-08-28,0.00053488675603116133,-0.0014651139106358377,False
2015-09-02,2015-09-03,2015-09-04,0.031791675344435374,0.029791674677768377,True
2015-09-11,2015-09-14,2015-09-15,0.00559096601536525,0.003590965348698251,True
2015-09-24,2015-09-25,2015-09-28,0.022494242242891423,0.020494241576224426,True
2016-01-04,2016-01-05,2016-01-06,0.050323273509183392,0.04832327284251639,True
2016-01-22,2016-01-25,2016-01-26,0.015786079623813412,0.013786078957146413,True
2016-01-29,2016-02-01,2016-02-02,0.010943828799624522,0.0089438281329575226,True
2016-09-12,2016-09-13,2016-09-14,-0.011284417189305302,-0.013284417855972301,False
2016-09-14,2016-09-15,2016-09-16,-0.0110056411605635,-0.013005641827230499,False
2017-08-29,2017-08-30,2017-08-31,0.0009774755229443508,-0.0010225251437226482,False
2018-02-06,2018-02-07,2018-02-08,0.017317432808240517,0.015317432141573517,True
