date,aapl_open,aapl_close,aapl_adj_close,spy_adj_close,qqq_adj_close
1999-03-10,0.30524599552154541,0.29073700308799738,0.24369348585605621,80.088691711425781,43.027069091796882
1999-03-11,0.28794598579406733,0.28738799691200251,0.240886315703392,80.979888916015611,43.237712860107422
1999-03-12,0.28850400447845448,0.29631701111793513,0.24837054312229151,80.204933166503906,42.184410095214851
1999-03-15,0.29743298888206482,0.30412900447845448,0.2549184262752533,81.34796142578125,43.395702362060554
1999-03-16,0.3125,0.31696400046348572,0.26567673683166498,81.038002014160142,43.764369964599609
1999-03-17,0.32087099552154541,0.30412900447845448,0.2549184262752533,80.689262390136719,43.448379516601562
1999-03-18,0.3069199919700622,0.31696400046348572,0.26567673683166498,81.987289428710938,44.291000366210938
1999-03-19,0.32087099552154541,0.29910698533058161,0.25070908665657038,80.593696594238267,43.158702850341797
1999-03-22,0.30357098579406733,0.31305798888206482,0.26240262389183039,80.749031066894531,42.632072448730469
1999-03-23,0.30747801065444941,0.29464301466941828,0.2469674199819564,78.41864013671875,41.131126403808594
1999-03-24,0.296875,0.3007810115814209,0.25211217999458307,78.865303039550781,42.526744842529297
1999-03-25,0.3069199919700622,0.30189698934555048,0.25304758548736572,80.477157592773438,44.080352783203125
1999-03-26,0.30133900046348572,0.296875,0.24883829057216639,79.89453125,43.606365203857422
1999-03-29,0.29910698533058161,0.31584799289703358,0.26474130153656,81.506446838378892,45.186313629150391
1999-03-30,0.3125,0.32031300663948048,0.26848378777503962,81.079200744628892,44.870323181152337
1999-03-31,0.32477700710296631,0.32087099552154541,0.26895138621330261,79.778030395507812,44.211990356445312
1999-04-01,0.32198700308799738,0.32198700308799738,0.2698869109153747,80.380073547363281,45.133644104003913
1999-04-05,0.32142901420593262,0.33091500401496882,0.27737033367156982,82.283210754394531,46.766269683837891
1999-04-06,0.32868298888206482,0.33928599953651423,0.28438681364059443,82.089042663574219,46.858417510986328
1999-04-07,0.3398439884185791,0.33147299289703358,0.27783799171447748,82.749305725097642,46.371261596679688
1999-04-08,0.32924100756645203,0.32924100756645203,0.27596715092658991,83.798049926757812,46.739917755126953
1999-04-09,0.32366099953651423,0.328125,0.27503177523612971,83.817428588867202,47.029567718505859
1999-04-12,0.3125,0.32366099953651423,0.27129003405570978,84.710746765136719,46.713584899902337
1999-04-13,0.3242189884185791,0.30915200710296631,0.2591287493705749,84.1669921875,46.081611633300781
1999-04-14,0.31473198533058161,0.31724300980567932,0.26591044664382929,82.749305725097642,44.501670837402337
1999-04-15,0.31584799289703358,0.31919598579406733,0.26754751801490778,82.438629150390625,45.107311248779297
1999-04-16,0.32031300663948048,0.3164060115814209,0.26520895957946772,81.739494323730483,43.790672302246094
1999-04-19,0.31863799691200251,0.30245500802993769,0.25351530313491821,80.477157592773438,41.736770629882805
