policy,ledger_role,decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
learner,strategy,2004-12-31,2005-01-03,0.96960881685865019,1000,999.50024987506231,0,1030.8283428292812,0,1,1,1030.8283428292812,0.96960881685865019,0.97009362126707943,0.99950024987506236,0,0.4997501249374437,0,True,-0.00049975012493763682,-0.499750124937691,-0.00049975012493763682
learner,strategy,2005-01-03,2005-01-04,0.95479045027571652,984.22505760694003,984.22505760694003,0,1030.8283428292812,1,1,1,0,0.95479045027571652,0.95479045027571652,0,0,0,0,False,-0.015282829864256331,-15.275192268122282,-0.015774942393059987
learner,strategy,2005-01-04,2005-01-05,0.96481818268877728,994.56192839263088,994.56192839263088,0,1030.8283428292812,1,1,1,0,0.96481818268877728,0.96481818268877728,0,0,0,0,False,0.010502547873373569,10.336870785690849,-0.0054380716073690882
learner,strategy,2005-01-05,2005-01-06,0.96796190433035467,997.80256576273473,997.80256576273473,0,1030.8283428292812,1,1,1,0,0.96796190433035467,0.96796190433035467,0,0,0,0,False,0.0032583565463251141,3.2406373701038547,-0.0021974342372652611
learner,strategy,2005-01-06,2005-01-07,0.97290120182247453,1002.8941336112774,1002.8941336112774,0,1030.8283428292812,1,1,1,0,0.97290120182247453,0.97290120182247453,0,0,0,0,False,0.005102780873940338,5.0915678485426952,0
learner,strategy,2005-01-07,2005-01-10,1.0451951815786638,1077.4168169598836,1076.8781085514038,1076.8781085514038,0,1,0,0,-1030.8283428292812,1.0451951815786638,1.0446725839878745,1,0,0.53870840847981494,0,True,0.073770473333731434,73.983974940126359,0
learner,strategy,2005-01-10,2005-01-11,1.0215464778098959,1076.8781085514038,1076.3399385821126,0,1053.6377560516767,0,1,1,1053.6377560516767,1.0215464778098959,1.0220572510488009,0.99950024987506236,0,0.53816996929102245,0,True,-0.00049975012493763682,-0.53816996929117522,-0.00049975012493763682
learner,strategy,2005-01-11,2005-01-12,0.97963701173255857,1032.1825427870631,1032.1825427870631,0,1053.6377560516767,1,1,1,0,0.97963701173255857,0.97963701173255857,0,0,0,0,False,-0.041025510818839539,-44.157395795049524,-0.04150475843961976
learner,strategy,2005-01-12,2005-01-13,1.1032706620381154,1162.4476246674876,1162.4476246674876,0,1053.6377560516767,1,1,1,0,1.1032706620381154,1.1032706620381154,0,0,0,0,False,0.12620353133340867,130.26508188042453,0
learner,strategy,2005-01-13,2005-01-14,1.0514819500063157,1107.8810823334957,1107.8810823334957,0,1053.6377560516767,1,1,1,0,1.0514819500063157,1.0514819500063157,0,0,0,0,False,-0.046941076033081841,-54.566542333991947,-0.046941076033081841
learner,strategy,2005-01-14,2005-01-18,1.0454944461697686,1101.5724222268054,1101.5724222268054,0,1053.6377560516767,1,1,1,0,1.0454944461697686,1.0454944461697686,0,0,0,0,False,-0.0056943477123037045,-6.3086601066902404,-0.052368124936463478
learner,strategy,2005-01-18,2005-01-19,1.0550740315831959,1111.6658351057145,1111.6658351057145,0,1053.6377560516767,1,1,1,0,1.0550740315831959,1.0550740315831959,0,0,0,0,False,0.0091627319958731412,10.093412878909021,-0.043685228034509582
learner,strategy,2005-01-19,2005-01-20,1.0425012885606797,1098.4187183600561,1098.4187183600561,0,1053.6377560516767,1,1,1,0,1.0425012885606797,1.0425012885606797,0,0,0,0,False,-0.011916455761545097,-13.247116745658332,-0.055081110708748438
learner,strategy,2005-01-20,2005-01-21,1.067348163618498,1124.5983240408721,1124.5983240408721,0,1053.6377560516767,1,1,1,0,1.067348163618498,1.067348163618498,0,0,0,0,False,0.023833903449772098,26.179605680815939,-0.032560005133514869
learner,strategy,2005-01-21,2005-01-24,1.0624082046930985,1119.3933968037268,1119.3933968037268,0,1053.6377560516767,1,1,1,0,1.0624082046930985,1.0624082046930985,0,0,0,0,False,-0.0046282544850707596,-5.2049272371452844,-0.037037563628792514
learner,strategy,2005-01-24,2005-01-25,1.0682450871912146,1125.5433565813789,1125.5433565813789,0,1053.6377560516767,1,1,1,0,1.0682450871912146,1.0682450871912146,0,0,0,0,False,0.0054940111271091219,6.1499597776521568,-0.031747037288381019
learner,strategy,2005-01-25,2005-01-26,1.0875540832266717,1145.8880438357887,1145.8880438357887,0,1053.6377560516767,1,1,1,0,1.0875540832266717,1.0875540832266717,0,0,0,0,False,0.018075436308560233,20.344687254409791,-0.014245442530312458
learner,strategy,2005-01-26,2005-01-27,1.0800695594628504,1138.0020670121608,1138.0020670121608,0,1053.6377560516767,1,1,1,0,1.0800695594628504,1.0800695594628504,0,0,0,0,False,-0.0068819784498581615,-7.8859768236279706,-0.021029384151668218
learner,strategy,2005-01-27,2005-01-28,1.0869555721310715,1145.2574299480486,1145.2574299480486,0,1053.6377560516767,1,1,1,0,1.0869555721310715,1.0869555721310715,0,0,0,0,False,0.0063755270277645604,7.2553629358878879,-0.014787930530939963
learner,strategy,2005-01-28,2005-01-31,1.1162927057956731,1176.1681416314075,1176.1681416314075,0,1053.6377560516767,1,1,1,0,1.1162927057956731,1.1162927057956731,0,0,0,0,False,0.026990186551124173,30.910711683358841,0
learner,strategy,2005-01-31,2005-02-01,1.1532624762982118,1215.1208876654478,1214.5133272216151,1214.5133272216151,0,1,0,0,-1053.6377560516767,1.1532624762982118,1.1526858450600628,1,0,0.60756044383260666,0,True,0.032601789006987403,38.34518559020762,0
learner,strategy,2005-02-01,2005-02-02,1.166732961684851,1214.5133272216151,1213.906374034598,0,1040.4320559193125,0,1,1,1040.4320559193125,1.166732961684851,1.1673163281656933,0.99950024987506259,0,0.60695318701721002,0,True,-0.00049975012493741477,-0.60695318701709766,-0.00049975012493741477
learner,strategy,2005-02-02,2005-02-03,1.1839459157537389,1231.8152832249357,1231.8152832249357,0,1040.4320559193125,1,1,1,0,1.1839459157537389,1.1839459157537389,0,0,0,0,False,0.0147531222946089,17.908909190337681,0
learner,strategy,2005-02-03,2005-02-04,1.1655362282031085,1212.6612541578011,1212.6612541578011,0,1040.4320559193125,1,1,1,0,1.1655362282031085,1.1655362282031085,0,0,0,0,False,-0.015549432880057057,-19.154029067134616,-0.015549432880057057
learner,strategy,2005-02-04,2005-02-07,1.181401376211064,1229.1678627171825,1229.1678627171825,0,1040.4320559193125,1,1,1,0,1.181401376211064,1.181401376211064,0,0,0,0,False,0.013611887493548469,16.506608559381448,-0.0021492025174603135
learner,strategy,2005-02-07,2005-02-08,1.1834965552111663,1231.3477541117777,1231.3477541117777,0,1040.4320559193125,1,1,1,0,1.1834965552111663,1.1834965552111663,0,0,0,0,False,0.0017734692394058005,2.1798913945951881,-0.00037954482260849076
learner,strategy,2005-02-08,2005-02-09,1.2129835035870031,1262.0269204332365,1262.0269204332365,0,1040.4320559193125,1,1,1,0,1.2129835035870031,1.2129835035870031,0,0,0,0,False,0.024915111282749702,30.679166321458752,0
learner,strategy,2005-02-09,2005-02-10,1.1782581789462776,1225.8975795248207,1225.8975795248207,0,1040.4320559193125,1,1,1,0,1.1782581789462776,1.1782581789462776,0,0,0,0,False,-0.028628027123235311,-36.12934090841577,-0.028628027123235311
learner,strategy,2005-02-10,2005-02-11,1.1953214104166618,1243.6507125241797,1243.6507125241797,0,1040.4320559193125,1,1,1,0,1.1953214104166618,1.1953214104166618,0,0,0,0,False,0.014481742435808131,17.753132999358968,-0.014560868402671234
learner,strategy,2005-02-11,2005-02-14,1.2382787806714104,1288.344937575215,1288.344937575215,0,1040.4320559193125,1,1,1,0,1.2382787806714104,1.2382787806714104,0,0,0,0,False,0.035937924210505567,44.694225051035346,0
learner,strategy,2005-02-14,2005-02-15,1.2971018603290321,1349.5463552788997,1349.5463552788997,0,1040.4320559193125,1,1,1,0,1.2971018603290321,1.2971018603290321,0,0,0,0,False,0.0475039066935532,61.201417703684683,0
learner,strategy,2005-02-15,2005-02-16,1.3194037253249513,1372.7499305274389,1372.7499305274389,0,1040.4320559193125,1,1,1,0,1.3194037253249513,1.3194037253249513,0,0,0,0,False,0.017193611140347898,23.203575248539209,0
learner,strategy,2005-02-16,2005-02-17,1.356823282392573,1411.6824372188946,1411.6824372188946,0,1040.4320559193125,1,1,1,0,1.356823282392573,1.356823282392573,0,0,0,0,False,0.028360960598626361,38.932506691455728,0
learner,strategy,2005-02-17,2005-02-18,1.3132672913058261,1366.3653878649072,1366.3653878649072,0,1040.4320559193125,1,1,1,0,1.3132672913058261,1.3132672913058261,0,0,0,0,False,-0.032101447293815477,-45.317049353987386,-0.032101447293815477
learner,strategy,2005-02-18,2005-02-22,1.2917135043890779,1343.9401370302683,1343.9401370302683,0,1040.4320559193125,1,1,1,0,1.2917135043890779,1.2917135043890779,0,0,0,0,False,-0.016412338188455444,-22.425250834638973,-0.047986925672946046
learner,strategy,2005-02-22,2005-02-23,1.2979994840900004,1350.4802718139661,1350.4802718139661,0,1040.4320559193125,1,1,1,0,1.2979994840900004,1.2979994840900004,0,0,0,0,False,0.004866388467383409,6.5401347836977948,-0.043354060227242641
learner,strategy,2005-02-23,2005-02-24,1.3243433806815541,1377.8893063056421,1377.8893063056421,0,1040.4320559193125,1,1,1,0,1.3243433806815541,1.3243433806815541,0,0,0,0,False,0.020295768152807092,27.409034491676039,-0.023938196029290482
learner,strategy,2005-02-24,2005-02-25,1.34140620699576,1395.6420177675254,1395.6420177675254,0,1040.4320559193125,1,1,1,0,1.34140620699576,1.34140620699576,0,0,0,0,False,0.012883989577857635,17.752711461883337,-0.011362625919587033
learner,strategy,2005-02-25,2005-02-28,1.3375146945685303,1391.5931634922272,1391.5931634922272,0,1040.4320559193125,1,1,1,0,1.3375146945685303,1.3375146945685303,0,0,0,0,False,-0.0029010693456871239,-4.0488542752982539,-0.014230731499532245
learner,strategy,2005-02-28,2005-03-01,1.3467952525956843,1401.2489535604975,1401.2489535604975,0,1040.4320559193125,1,1,1,0,1.3467952525956843,1.3467952525956843,0,0,0,0,False,0.0069386587413515777,9.6557900682703348,-0.0073908149476958895
learner,strategy,2005-03-01,2005-03-02,1.3246426468161243,1378.2006723852999,1378.2006723852999,0,1040.4320559193125,1,1,1,0,1.3246426468161243,1.3246426468161243,0,0,0,0,False,-0.016448384219401757,-23.048281175197644,-0.023717632203143379
learner,strategy,2005-03-02,2005-03-03,1.3282350495687927,1381.9383233669489,1381.9383233669489,0,1040.4320559193125,1,1,1,0,1.3282350495687927,1.3282350495687927,0,0,0,0,False,0.002711978782582003,3.7376509816490397,-0.021069975135869501
learner,strategy,2005-03-03,2005-03-04,1.2800389776389736,1331.7935851617722,1331.7935851617722,0,1040.4320559193125,1,1,1,0,1.2800389776389736,1.2800389776389736,0,0,0,0,False,-0.036285800427767523,-50.144738205176736,-0.056591234650838818
learner,strategy,2005-03-04,2005-03-07,1.2812360629685005,1333.0390711122825,1333.0390711122825,0,1040.4320559193125,1,1,1,0,1.2812360629685005,1.2812360629685005,0,0,0,0,False,0.0009351944358246822,1.2454859505103286,-0.055708964022776031
learner,strategy,2005-03-07,2005-03-08,1.2542948201126722,1305.0085384187719,1305.0085384187719,0,1040.4320559193125,1,1,1,0,1.2542948201126722,1.2542948201126722,0,0,0,0,False,-0.021027540228151009,-28.030532693510622,-0.075565081768869446
learner,strategy,2005-03-08,2005-03-09,1.1866397780261912,1234.6180638874268,1234.6180638874268,0,1040.4320559193125,1,1,1,0,1.1866397780261912,1.1866397780261912,0,0,0,0,False,-0.053938708030703331,-70.390474531345035,-0.12542790691672556
learner,strategy,2005-03-09,2005-03-10,1.1833481345164982,1231.1933324632835,1231.1933324632835,0,1040.4320559193125,1,1,1,0,1.1833481345164982,1.1833481345164982,0,0,0,0,False,-0.0027739197443458208,-3.4247314241433742,-0.12785389971358307
learner,strategy,2005-03-10,2005-03-11,1.2037034818859804,1252.3716883758655,1252.3716883758655,0,1040.4320559193125,1,1,1,0,1.2037034818859804,1.2037034818859804,0,0,0,0,False,0.017201486845457303,21.178355912581992,-0.11285169004218942
