"id","market_and_exchange_names","report_date_as_yyyy_mm_dd","cftc_contract_market_code","open_interest_all","noncomm_positions_long_all","noncomm_positions_short_all"
"98021013874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-02-10T00:00:00.000","13874A","14188","1530","5868"
"98021713874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-02-17T00:00:00.000","13874A","14991","2444","7095"
"98022413874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-02-24T00:00:00.000","13874A","17256","0","8691"
"98030313874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-03-03T00:00:00.000","13874A","18250","1788","8946"
"98031013874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-03-10T00:00:00.000","13874A","20361","1940","10427"
"98031713874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-03-17T00:00:00.000","13874A","22048","1893","10698"
"98032413874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-03-24T00:00:00.000","13874A","8050","3044","2006"
"98033113874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-03-31T00:00:00.000","13874A","9323","3193","2732"
"98040713874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-04-07T00:00:00.000","13874A","10516","970","3957"
"98041413874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-04-14T00:00:00.000","13874A","11428","1478","4459"
"98042113874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-04-21T00:00:00.000","13874A","12715","2559","5276"
"98042813874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-04-28T00:00:00.000","13874A","14162","1481","6491"
"98050513874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-05-05T00:00:00.000","13874A","14545","989","7326"
"98051213874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-05-12T00:00:00.000","13874A","15758","355","8158"
"98051913874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-05-19T00:00:00.000","13874A","17015","1045","8473"
"98052613874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-05-26T00:00:00.000","13874A","18168","1608","9693"
"98060213874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-06-02T00:00:00.000","13874A","19767","1112","10366"
"98060913874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-06-09T00:00:00.000","13874A","21080","381","11080"
"98061613874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-06-16T00:00:00.000","13874A","14522","897","2924"
"98062313874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-06-23T00:00:00.000","13874A","7469","2586","1380"
