policy,ledger_role,decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
selector,strategy,2004-12-31,2005-01-03,0.96960881685865019,1000,999.50024987506231,0,1030.8283428292812,0,1,1,1030.8283428292812,0.96960881685865019,0.97009362126707943,0.99950024987506236,0,0.4997501249374437,0,True,-0.00049975012493763682,-0.499750124937691,-0.00049975012493763682
selector,strategy,2005-01-03,2005-01-04,0.95479045027571652,984.22505760694003,984.22505760694003,0,1030.8283428292812,1,1,1,0,0.95479045027571652,0.95479045027571652,0,0,0,0,False,-0.015282829864256331,-15.275192268122282,-0.015774942393059987
selector,strategy,2005-01-04,2005-01-05,0.96481818268877728,994.56192839263088,994.56192839263088,0,1030.8283428292812,1,1,1,0,0.96481818268877728,0.96481818268877728,0,0,0,0,False,0.010502547873373569,10.336870785690849,-0.0054380716073690882
selector,strategy,2005-01-05,2005-01-06,0.96796190433035467,997.80256576273473,997.80256576273473,0,1030.8283428292812,1,1,1,0,0.96796190433035467,0.96796190433035467,0,0,0,0,False,0.0032583565463251141,3.2406373701038547,-0.0021974342372652611
selector,strategy,2005-01-06,2005-01-07,0.97290120182247453,1002.8941336112774,1002.8941336112774,0,1030.8283428292812,1,1,1,0,0.97290120182247453,0.97290120182247453,0,0,0,0,False,0.005102780873940338,5.0915678485426952,0
selector,strategy,2005-01-07,2005-01-10,1.0451951815786638,1077.4168169598836,1076.8781085514038,1076.8781085514038,0,1,0,0,-1030.8283428292812,1.0451951815786638,1.0446725839878745,1,0,0.53870840847981494,0,True,0.073770473333731434,73.983974940126359,0
selector,strategy,2005-01-10,2005-01-11,1.0215464778098959,1076.8781085514038,1076.3399385821126,0,1053.6377560516767,0,1,1,1053.6377560516767,1.0215464778098959,1.0220572510488009,0.99950024987506236,0,0.53816996929102245,0,True,-0.00049975012493763682,-0.53816996929117522,-0.00049975012493763682
selector,strategy,2005-01-11,2005-01-12,0.97963701173255857,1032.1825427870631,1032.1825427870631,0,1053.6377560516767,1,1,1,0,0.97963701173255857,0.97963701173255857,0,0,0,0,False,-0.041025510818839539,-44.157395795049524,-0.04150475843961976
selector,strategy,2005-01-12,2005-01-13,1.1032706620381154,1162.4476246674876,1162.4476246674876,0,1053.6377560516767,1,1,1,0,1.1032706620381154,1.1032706620381154,0,0,0,0,False,0.12620353133340867,130.26508188042453,0
selector,strategy,2005-01-13,2005-01-14,1.0514819500063157,1107.8810823334957,1107.8810823334957,0,1053.6377560516767,1,1,1,0,1.0514819500063157,1.0514819500063157,0,0,0,0,False,-0.046941076033081841,-54.566542333991947,-0.046941076033081841
