decision_date,entry_date,buyback_date,reference_exit_date,mode,raw_active_log_edge,net_active_log_edge,win
2010-08-25,2010-08-26,2010-08-26,2010-08-27,intraday,0.021288343169119105,0.020288343085785882,True
2010-11-22,2010-11-23,2010-11-23,2010-11-24,intraday,0.005555790508709694,0.00455579042537647,True
2011-03-11,2011-03-14,2011-03-14,2011-03-15,intraday,-0.0010753848298706795,-0.0020753849132039036,False
2011-04-18,2011-04-19,2011-04-19,2011-04-20,intraday,-0.014188869036933095,-0.015188869120266318,False
2011-05-17,2011-05-18,2011-05-18,2011-05-19,intraday,-0.01005419283188591,-0.011054192915219134,False
2011-05-23,2011-05-24,2011-05-24,2011-05-25,intraday,0.009914888681443901,0.008914888598110678,True
2011-06-21,2011-06-22,2011-06-22,2011-06-23,intraday,0.007873179702887123,0.006873179619553899,True
2011-06-23,2011-06-24,2011-06-24,2011-06-27,intraday,0.015265174890228472,0.014265174806895249,True
2011-07-18,2011-07-19,2011-07-19,2011-07-20,intraday,0.003046928888792814,0.0020469288054595905,True
2011-08-09,2011-08-10,2011-08-10,2011-08-11,intraday,0.02030439321228358,0.019304393128950357,True
2011-08-23,2011-08-24,2011-08-24,2011-08-25,intraday,-0.007230130788010191,-0.008230130871343415,False
2011-08-25,2011-08-26,2011-08-26,2011-08-29,intraday,-0.03288810531289011,-0.033888105396223334,False
2011-10-05,2011-10-06,2011-10-06,2011-10-07,intraday,-0.010763424646196913,-0.011763424729530136,False
2011-12-20,2011-12-21,2011-12-21,2011-12-22,intraday,0.0006051360388966367,-0.0003948640444365871,False
2012-04-17,2012-04-18,2012-04-18,2012-04-19,intraday,0.00880484481065839,0.007804844727325166,True
2012-05-21,2012-05-22,2012-05-22,2012-05-23,intraday,0.022335091928239674,0.02133509184490645,True
2012-05-23,2012-05-24,2012-05-24,2012-05-25,intraday,0.018489976596530407,0.017489976513197183,True
2012-05-30,2012-05-31,2012-05-31,2012-06-01,intraday,0.005196432432526129,0.004196432349192905,True
2012-07-23,2012-07-24,2012-07-24,2012-07-25,intraday,0.010692745823647437,0.009692745740314214,True
2012-09-27,2012-09-28,2012-09-28,2012-10-01,intraday,0.017312890750393807,0.016312890667060584,True
2012-10-16,2012-10-17,2012-10-17,2012-10-18,intraday,0.006586932517530174,0.00558693243419695,True
2012-10-22,2012-10-23,2012-10-23,2012-10-24,intraday,0.028353786370335133,0.02735378628700191,True
2012-11-19,2012-11-20,2012-11-20,2012-11-21,intraday,0.01942123885778333,0.018421238774450108,True
2013-04-24,2013-04-25,2013-04-25,2013-04-26,intraday,0.006954551454612566,0.005954551371279342,True
2013-07-02,2013-07-03,2013-07-03,2013-07-05,intraday,0.00014257865287968947,-0.0008574214304535343,False
2014-08-01,2014-08-04,2014-08-04,2014-08-05,intraday,0.00812680459850022,0.0071268045151669955,True
2014-09-23,2014-09-24,2014-09-24,2014-09-25,intraday,0.004021423248381672,0.0030214231650484476,True
2014-09-26,2014-09-29,2014-09-29,2014-09-30,intraday,-0.014691339591975498,-0.01569133967530872,False
2014-10-08,2014-10-09,2014-10-09,2014-10-10,intraday,0.005134334726148965,0.004134334642815741,True
2014-10-20,2014-10-21,2014-10-21,2014-10-22,intraday,0.005353026827765598,0.004353026744432374,True
2014-12-17,2014-12-18,2014-12-18,2014-12-19,intraday,-0.006948173013171058,-0.007948173096504281,False
2015-01-08,2015-01-09,2015-01-09,2015-01-12,intraday,0.005875003829159252,0.004875003745826028,True
2015-03-12,2015-03-13,2015-03-13,2015-03-16,intraday,0.006532586600456889,0.005532586517123665,True
2015-04-06,2015-04-07,2015-04-07,2015-04-08,intraday,0.01285251079375609,0.011852510710422866,True
2015-08-05,2015-08-06,2015-08-06,2015-08-07,intraday,0.007269646665417989,0.006269646582084765,True
2015-08-12,2015-08-13,2015-08-13,2015-08-14,intraday,0.007699327625037711,0.006699327541704487,True
2015-08-14,2015-08-17,2015-08-17,2015-08-18,intraday,-0.009605586073907532,-0.010605586157240755,False
2015-08-24,2015-08-25,2015-08-25,2015-08-26,intraday,0.06863295875804042,0.06763295867470719,True
2015-08-26,2015-08-27,2015-08-27,2015-08-28,intraday,-0.0061292202304240005,-0.0071292203137572245,False
2015-09-02,2015-09-03,2015-09-03,2015-09-04,intraday,0.01902592714431584,0.018025927060982615,True
2015-09-11,2015-09-14,2015-09-14,2015-09-15,intraday,0.01095361571334689,0.009953615630013667,True
2015-09-24,2015-09-25,2015-09-25,2015-09-28,intraday,0.014968943532555285,0.013968943449222062,True
2015-10-02,2015-10-05,2015-10-05,2015-10-06,intraday,-0.008157405354915956,-0.009157405438249179,False
2015-11-16,2015-11-17,2015-11-17,2015-11-18,intraday,0.010760750562535734,0.009760750479202511,True
2016-01-04,2016-01-05,2016-01-05,2016-01-06,intraday,0.02916834366238642,0.028168343579053196,True
2016-01-22,2016-01-25,2016-01-25,2016-01-26,intraday,0.020701318585403385,0.019701318502070162,True
2016-01-29,2016-02-01,2016-02-01,2016-02-02,intraday,0.0004147321491371194,-0.0005852679341961044,False
2016-09-12,2016-09-13,2016-09-13,2016-09-14,intraday,-0.0040842423235117374,-0.0050842424068449615,False
2016-09-14,2016-09-15,2016-09-15,2016-09-16,intraday,-0.014906775463255752,-0.015906775546588977,False
2017-08-09,2017-08-10,2017-08-10,2017-08-11,intraday,0.02906102964994237,0.028061029566609146,True
2017-08-29,2017-08-30,2017-08-30,2017-08-31,intraday,0.002751014638240344,0.00175101455490712,True
2018-02-06,2018-02-07,2018-02-07,2018-02-08,intraday,0.02200754081397081,0.021007540730637587,True
2018-02-12,2018-02-13,2018-02-13,2018-02-14,intraday,-0.014649803445793353,-0.015649803529126576,False
2018-02-14,2018-02-15,2018-02-15,2018-02-16,intraday,-0.01867148132737743,-0.019671481410710654,False
2018-03-26,2018-03-27,2018-03-27,2018-03-28,intraday,0.031228761370082618,0.030228761286749395,True
2018-04-04,2018-04-05,2018-04-05,2018-04-06,intraday,-0.0012739663405398702,-0.0022739664238730943,False
2018-04-30,2018-05-01,2018-05-01,2018-05-02,intraday,-0.01603564725685459,-0.017035647340187813,False
2018-07-02,2018-07-03,2018-07-03,2018-07-05,intraday,0.020823410968905814,0.01982341088557259,True
2018-09-11,2018-09-12,2018-09-12,2018-09-13,intraday,0.017354284251679942,0.01635428416834672,True
2018-09-13,2018-09-14,2018-09-14,2018-09-17,intraday,0.00849669774031249,0.007496697656979265,True
2018-10-09,2018-10-10,2018-10-10,2018-10-11,intraday,0.041199099570687674,0.04019909948735445,True
2018-10-16,2018-10-17,2018-10-17,2018-10-18,intraday,0.005005762990989597,0.004005762907656373,True
2018-10-23,2018-10-24,2018-10-24,2018-10-25,intraday,0.034319938098249875,0.03331993801491665,True
2018-11-01,2018-11-02,2018-11-02,2018-11-05,intraday,0.009927460043426475,0.008927459960093252,True
2018-11-15,2018-11-16,2018-11-16,2018-11-19,intraday,-0.015780338337938987,-0.01678033842127221,False
2018-11-27,2018-11-28,2018-11-28,2018-11-29,intraday,-0.023542378063869746,-0.02454237814720297,False
2018-12-06,2018-12-07,2018-12-07,2018-12-10,intraday,0.029243559048340553,0.02824355896500733,True
2018-12-10,2018-12-11,2018-12-11,2018-12-12,intraday,0.017808802985709173,0.01680880290237595,True
2018-12-26,2018-12-27,2018-12-27,2018-12-28,intraday,-0.001987228246507884,-0.002987228329841108,False
