decision_date,entry_date,buyback_date,reference_exit_date,mode,raw_active_log_edge,net_active_log_edge,win
2010-08-25,2010-08-26,2010-08-26,2010-08-27,intraday,0.021288343169119105,0.019288342502452108,True
2010-11-22,2010-11-23,2010-11-23,2010-11-24,intraday,0.005555790508709694,0.003555789842042695,True
2011-03-11,2011-03-14,2011-03-14,2011-03-15,intraday,-0.0010753848298706795,-0.0030753854965376785,False
2011-04-18,2011-04-19,2011-04-19,2011-04-20,intraday,-0.014188869036933095,-0.016188869703600093,False
2011-05-17,2011-05-18,2011-05-18,2011-05-19,intraday,-0.01005419283188591,-0.01205419349855291,False
2011-05-23,2011-05-24,2011-05-24,2011-05-25,intraday,0.009914888681443901,0.007914888014776902,True
2011-06-21,2011-06-22,2011-06-22,2011-06-23,intraday,0.007873179702887123,0.005873179036220123,True
2011-06-23,2011-06-24,2011-06-24,2011-06-27,intraday,0.015265174890228472,0.013265174223561473,True
2011-07-18,2011-07-19,2011-07-19,2011-07-20,intraday,0.003046928888792814,0.001046928222125815,True
2011-08-09,2011-08-10,2011-08-10,2011-08-11,intraday,0.02030439321228358,0.018304392545616582,True
2011-08-23,2011-08-24,2011-08-24,2011-08-25,intraday,-0.007230130788010191,-0.00923013145467719,False
2011-08-25,2011-08-26,2011-08-26,2011-08-29,intraday,-0.03288810531289011,-0.03488810597955711,False
2011-10-05,2011-10-06,2011-10-06,2011-10-07,intraday,-0.010763424646196913,-0.012763425312863912,False
2011-12-20,2011-12-21,2011-12-21,2011-12-22,intraday,0.0006051360388966367,-0.0013948646277703622,False
2012-04-17,2012-04-18,2012-04-18,2012-04-19,intraday,0.00880484481065839,0.006804844143991391,True
2012-05-21,2012-05-22,2012-05-22,2012-05-23,intraday,0.022335091928239674,0.020335091261572676,True
2012-05-23,2012-05-24,2012-05-24,2012-05-25,intraday,0.018489976596530407,0.01648997592986341,True
2012-05-30,2012-05-31,2012-05-31,2012-06-01,intraday,0.005196432432526129,0.0031964317658591296,True
2012-07-23,2012-07-24,2012-07-24,2012-07-25,intraday,0.010692745823647437,0.008692745156980437,True
2012-09-27,2012-09-28,2012-09-28,2012-10-01,intraday,0.017312890750393807,0.015312890083726808,True
2012-10-16,2012-10-17,2012-10-17,2012-10-18,intraday,0.006586932517530174,0.004586931850863176,True
2012-10-22,2012-10-23,2012-10-23,2012-10-24,intraday,0.028353786370335133,0.026353785703668135,True
2012-11-19,2012-11-20,2012-11-20,2012-11-21,intraday,0.01942123885778333,0.017421238191116333,True
2013-04-24,2013-04-25,2013-04-25,2013-04-26,intraday,0.006954551454612566,0.004954550787945567,True
2013-07-02,2013-07-03,2013-07-03,2013-07-05,intraday,0.00014257865287968947,-0.0018574220137873095,False
2014-08-01,2014-08-04,2014-08-04,2014-08-05,intraday,0.00812680459850022,0.00612680393183322,True
2014-09-23,2014-09-24,2014-09-24,2014-09-25,intraday,0.004021423248381672,0.0020214225817146727,True
2014-09-26,2014-09-29,2014-09-29,2014-09-30,intraday,-0.014691339591975498,-0.016691340258642495,False
2014-10-08,2014-10-09,2014-10-09,2014-10-10,intraday,0.005134334726148965,0.0031343340594819657,True
2014-10-20,2014-10-21,2014-10-21,2014-10-22,intraday,0.005353026827765598,0.0033530261610985987,True
2014-12-17,2014-12-18,2014-12-18,2014-12-19,intraday,-0.006948173013171058,-0.008948173679838058,False
2015-01-08,2015-01-09,2015-01-09,2015-01-12,intraday,0.005875003829159252,0.003875003162492253,True
2015-03-12,2015-03-13,2015-03-13,2015-03-16,intraday,0.006532586600456889,0.00453258593378989,True
2015-04-06,2015-04-07,2015-04-07,2015-04-08,intraday,0.01285251079375609,0.01085251012708909,True
2015-08-05,2015-08-06,2015-08-06,2015-08-07,intraday,0.007269646665417989,0.00526964599875099,True
2015-08-12,2015-08-13,2015-08-13,2015-08-14,intraday,0.007699327625037711,0.005699326958370712,True
2015-08-14,2015-08-17,2015-08-17,2015-08-18,intraday,-0.009605586073907532,-0.011605586740574532,False
2015-08-24,2015-08-25,2015-08-25,2015-08-26,intraday,0.06863295875804042,0.06663295809137341,True
2015-08-26,2015-08-27,2015-08-27,2015-08-28,intraday,-0.0061292202304240005,-0.008129220897091,False
2015-09-02,2015-09-03,2015-09-03,2015-09-04,intraday,0.01902592714431584,0.01702592647764884,True
2015-09-11,2015-09-14,2015-09-14,2015-09-15,intraday,0.01095361571334689,0.00895361504667989,True
2015-09-24,2015-09-25,2015-09-25,2015-09-28,intraday,0.014968943532555285,0.012968942865888285,True
2015-10-02,2015-10-05,2015-10-05,2015-10-06,intraday,-0.008157405354915956,-0.010157406021582955,False
2015-11-16,2015-11-17,2015-11-17,2015-11-18,intraday,0.010760750562535734,0.008760749895868735,True
2016-01-04,2016-01-05,2016-01-05,2016-01-06,intraday,0.02916834366238642,0.02716834299571942,True
2016-01-22,2016-01-25,2016-01-25,2016-01-26,intraday,0.020701318585403385,0.018701317918736388,True
2016-01-29,2016-02-01,2016-02-01,2016-02-02,intraday,0.0004147321491371194,-0.0015852685175298795,False
2016-09-12,2016-09-13,2016-09-13,2016-09-14,intraday,-0.0040842423235117374,-0.006084242990178736,False
2016-09-14,2016-09-15,2016-09-15,2016-09-16,intraday,-0.014906775463255752,-0.01690677612992275,False
2017-08-09,2017-08-10,2017-08-10,2017-08-11,intraday,0.02906102964994237,0.02706102898327537,True
2017-08-29,2017-08-30,2017-08-30,2017-08-31,intraday,0.002751014638240344,0.0007510139715733448,True
2018-02-06,2018-02-07,2018-02-07,2018-02-08,intraday,0.02200754081397081,0.020007540147303812,True
2018-02-12,2018-02-13,2018-02-13,2018-02-14,intraday,-0.014649803445793353,-0.01664980411246035,False
2018-02-14,2018-02-15,2018-02-15,2018-02-16,intraday,-0.01867148132737743,-0.02067148199404443,False
2018-03-26,2018-03-27,2018-03-27,2018-03-28,intraday,0.031228761370082618,0.02922876070341562,True
2018-04-04,2018-04-05,2018-04-05,2018-04-06,intraday,-0.0012739663405398702,-0.0032739670072068692,False
2018-04-30,2018-05-01,2018-05-01,2018-05-02,intraday,-0.01603564725685459,-0.018035647923521587,False
2018-07-02,2018-07-03,2018-07-03,2018-07-05,intraday,0.020823410968905814,0.018823410302238816,True
2018-09-11,2018-09-12,2018-09-12,2018-09-13,intraday,0.017354284251679942,0.015354283585012942,True
2018-09-13,2018-09-14,2018-09-14,2018-09-17,intraday,0.00849669774031249,0.00649669707364549,True
2018-10-09,2018-10-10,2018-10-10,2018-10-11,intraday,0.041199099570687674,0.03919909890402067,True
2018-10-16,2018-10-17,2018-10-17,2018-10-18,intraday,0.005005762990989597,0.0030057623243225982,True
2018-10-23,2018-10-24,2018-10-24,2018-10-25,intraday,0.034319938098249875,0.032319937431582874,True
2018-11-01,2018-11-02,2018-11-02,2018-11-05,intraday,0.009927460043426475,0.007927459376759476,True
2018-11-15,2018-11-16,2018-11-16,2018-11-19,intraday,-0.015780338337938987,-0.017780339004605985,False
2018-11-27,2018-11-28,2018-11-28,2018-11-29,intraday,-0.023542378063869746,-0.025542378730536743,False
2018-12-06,2018-12-07,2018-12-07,2018-12-10,intraday,0.029243559048340553,0.027243558381673555,True
2018-12-10,2018-12-11,2018-12-11,2018-12-12,intraday,0.017808802985709173,0.015808802319042175,True
2018-12-26,2018-12-27,2018-12-27,2018-12-28,intraday,-0.001987228246507884,-0.003987228913174884,False
