strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2023-12-29,2024-01-02,185.055288483,1000,999.000999001,0,5.39839205457,0,1,1,5.39839205457,185.055288483,185.240343771,0.999000999001,0,0.999000999001,0,True,-0.000999000999001,-0.999000999001,-0.000999000999001,2023-12-29,2024-01-02,185.055288483,1000,999.000999001,0,5.39839205457,0,1,1,5.39839205457,185.055288483,185.240343771,0.999000999001,0,0.999000999001,0,True,-0.000999000999001,-0.999000999001,-0.000999000999001,0
2024-01-02,2024-01-03,182.158081129,983.360737841,983.360737841,0,5.39839205457,1,1,1,0,182.158081129,182.158081129,0,0,0,0,False,-0.0156559014208,-15.6402611596,-0.0166392621586,2024-01-02,2024-01-03,182.158081129,983.360737841,983.360737841,0,5.39839205457,1,1,1,0,182.158081129,182.158081129,0,0,0,0,False,-0.0156559014208,-15.6402611596,-0.0166392621586,0
2024-01-03,2024-01-04,180.111220691,972.310982719,972.310982719,0,5.39839205457,1,1,1,0,180.111220691,180.111220691,0,0,0,0,False,-0.0112367259511,-11.0497551222,-0.0276890172808,2024-01-03,2024-01-04,180.111220691,972.310982719,972.310982719,0,5.39839205457,1,1,1,0,180.111220691,180.111220691,0,0,0,0,False,-0.0112367259511,-11.0497551222,-0.0276890172808,0
2024-01-04,2024-01-05,179.953046197,971.457094787,971.457094787,0,5.39839205457,1,1,1,0,179.953046197,179.953046197,0,0,0,0,False,-0.000878204552872,-0.853887931831,-0.0285429052126,2024-01-04,2024-01-05,179.953046197,971.457094787,971.457094787,0,5.39839205457,1,1,1,0,179.953046197,179.953046197,0,0,0,0,False,-0.000878204552872,-0.853887931831,-0.0285429052126,0
2024-01-05,2024-01-08,180.051915505,971.990830075,971.990830075,0,5.39839205457,1,1,1,0,180.051915505,180.051915505,0,0,0,0,False,0.000549417251987,0.533735287441,-0.0280091699252,2024-01-05,2024-01-08,180.051915505,971.990830075,971.990830075,0,5.39839205457,1,1,1,0,180.051915505,180.051915505,0,0,0,0,False,0.000549417251987,0.533735287441,-0.0280091699252,0
2024-01-08,2024-01-09,181.861448608,981.7593992,981.7593992,0,5.39839205457,1,1,1,0,181.861448608,181.861448608,0,0,0,0,False,0.0100500630493,9.76856912563,-0.0182406007996,2024-01-08,2024-01-09,181.861448608,981.7593992,981.7593992,0,5.39839205457,1,1,1,0,181.861448608,181.861448608,0,0,0,0,False,0.0100500630493,9.76856912563,-0.0182406007996,0
2024-01-09,2024-01-10,182.286616409,984.054621677,984.054621677,0,5.39839205457,1,1,1,0,182.286616409,182.286616409,0,0,0,0,False,0.00233786656726,2.29522247648,-0.0159453783231,2024-01-09,2024-01-10,182.286616409,984.054621677,984.054621677,0,5.39839205457,1,1,1,0,182.286616409,182.286616409,0,0,0,0,False,0.00233786656726,2.29522247648,-0.0159453783231,0
2024-01-10,2024-01-11,184.452089659,995.744695262,995.744695262,0,5.39839205457,1,1,1,0,184.452089659,184.452089659,0,0,0,0,False,0.0118794966534,11.690073585,-0.0042553047381,2024-01-10,2024-01-11,184.452089659,995.744695262,995.744695262,0,5.39839205457,1,1,1,0,184.452089659,184.452089659,0,0,0,0,False,0.0118794966534,11.690073585,-0.0042553047381,0
2024-01-11,2024-01-12,183.977497981,993.18266332,993.18266332,0,5.39839205457,1,1,1,0,183.977497981,183.977497981,0,0,0,0,False,-0.00257298075953,-2.56203194231,-0.00681733668041,2024-01-11,2024-01-12,183.977497981,993.18266332,993.18266332,0,5.39839205457,1,1,1,0,183.977497981,183.977497981,0,0,0,0,False,-0.00257298075953,-2.56203194231,-0.00681733668041,0
2024-01-12,2024-01-16,180.121158951,972.364633344,972.364633344,0,5.39839205457,1,1,1,0,180.121158951,180.121158951,0,0,0,0,False,-0.0209609276772,-20.8180299761,-0.0276353666565,2024-01-12,2024-01-16,180.121158951,972.364633344,972.364633344,0,5.39839205457,1,1,1,0,180.121158951,180.121158951,0,0,0,0,False,-0.0209609276772,-20.8180299761,-0.0276353666565,0
2024-01-16,2024-01-17,179.241092939,967.613691972,967.613691972,0,5.39839205457,1,1,1,0,179.241092939,179.241092939,0,0,0,0,False,-0.00488596685693,-4.75094137137,-0.0323863080278,2024-01-16,2024-01-17,179.241092939,967.613691972,967.613691972,0,5.39839205457,1,1,1,0,179.241092939,179.241092939,0,0,0,0,False,-0.00488596685693,-4.75094137137,-0.0323863080278,0
2024-01-17,2024-01-18,184.007143587,993.342701925,993.342701925,0,5.39839205457,1,1,1,0,184.007143587,184.007143587,0,0,0,0,False,0.026590167302,25.7290099532,-0.00665729807463,2024-01-17,2024-01-18,184.007143587,993.342701925,993.342701925,0,5.39839205457,1,1,1,0,184.007143587,184.007143587,0,0,0,0,False,0.026590167302,25.7290099532,-0.00665729807463,0
2024-01-18,2024-01-19,187.210888017,1010.6377704,1010.6377704,0,5.39839205457,1,1,1,0,187.210888017,187.210888017,0,0,0,0,False,0.0174109785472,17.2950684732,0,2024-01-18,2024-01-19,187.210888017,1010.6377704,1010.6377704,0,5.39839205457,1,1,1,0,187.210888017,187.210888017,0,0,0,0,False,0.0174109785472,17.2950684732,0,0
2024-01-19,2024-01-22,190.147663766,1026.49163727,1026.49163727,0,5.39839205457,1,1,1,0,190.147663766,190.147663766,0,0,0,0,False,0.0156869922463,15.8538668681,0,2024-01-19,2024-01-22,190.147663766,1026.49163727,1026.49163727,0,5.39839205457,1,1,1,0,190.147663766,190.147663766,0,0,0,0,False,0.0156869922463,15.8538668681,0,0
2024-01-22,2024-01-23,192.837209399,1041.01085904,1041.01085904,0,5.39839205457,1,1,1,0,192.837209399,192.837209399,0,0,0,0,False,0.014144510535,14.5192217774,0,2024-01-22,2024-01-23,192.837209399,1041.01085904,1041.01085904,0,5.39839205457,1,1,1,0,192.837209399,192.837209399,0,0,0,0,False,0.014144510535,14.5192217774,0,0
